STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
UTTAR PRADESH,KISHANI (SC),KAMLESH KUMARI,BAHUJAN SAMAJ PARTY,27858
UTTAR PRADESH,KISHANI (SC),SUMAN DIWAKAR,JAN ADHIKAR MANCH,2724
UTTAR PRADESH,KISHANI (SC),GRISH KUMAR,RASHTRIYA LOK DAL,920
UTTAR PRADESH,KISHANI (SC),NETRAPAL,BHARATIYA SUBHASH SENA,800
UTTAR PRADESH,KISHANI (SC),NATHOO RAM,INDEPENDENT,442
UTTAR PRADESH,KISHANI (SC),LEENA SINGH,INDEPENDENT,377
UTTAR PRADESH,KISHANI (SC),ASHISH NIGAM,INDEPENDENT,363
UTTAR PRADESH,KISHANI (SC),AKHILESH,INDEPENDENT,286
UTTAR PRADESH,KISHANI (SC),MEERA,FAUJI JANTA PARTY,254
UTTAR PRADESH,KISHANI (SC),NONE OF THE ABOVE,NONE OF THE ABOVE,1070
UTTAR PRADESH,BHONGAON,RAM NARESH AGNIHOTRI,BHARATIYA JANATA PARTY,92697
UTTAR PRADESH,BHONGAON,ALOK KUMAR,SAMAJWADI PARTY,72400
UTTAR PRADESH,BHONGAON,SURENDRA SINGH,BAHUJAN SAMAJ PARTY,26041
UTTAR PRADESH,BHONGAON,CHAKRAPAN,BHARTIYA VANCHITSAMAJ PARTY,808
UTTAR PRADESH,BHONGAON,SANDEEP KUMAR,INDEPENDENT,696
UTTAR PRADESH,BHONGAON,AJAY KUMAR,VOTERS PARTY INTERNATIONAL,522
UTTAR PRADESH,BHONGAON,PUSHPENDRA KUMAR,BHARATIYA SUBHASH SENA,411
UTTAR PRADESH,BHONGAON,SUNIL KUMAR,INDEPENDENT,398
UTTAR PRADESH,BHONGAON,HARIRAM SHAKYA,RASHTRIYA KRANTI PARTY,308
UTTAR PRADESH,BHONGAON,ARVIND SINGH,INDEPENDENT,223
UTTAR PRADESH,BHONGAON,NONE OF THE ABOVE,NONE OF THE ABOVE,1242
UTTAR PRADESH,MAINPURI,RAJKUMAR ALIAS RAJU YADAV,SAMAJWADI PARTY,75787
UTTAR PRADESH,MAINPURI,ASHOK KUMAR,BHARATIYA JANATA PARTY,66956
UTTAR PRADESH,MAINPURI,MAHARAJ SINGH,BAHUJAN SAMAJ PARTY,48314
UTTAR PRADESH,MAINPURI,SATYENDRA SINGH,MANAV HIT PARTY,1257
UTTAR PRADESH,MAINPURI,VINAY,JAN ADHIKAR MANCH,684
UTTAR PRADESH,MAINPURI,PRADEEP KUMAR,RASHTRIYA LOK DAL,636
UTTAR PRADESH,MAINPURI,RAMNARESH,BHARATIYA SUBHASH SENA,595
UTTAR PRADESH,MAINPURI,SURJEET SINGH,INDEPENDENT,365
UTTAR PRADESH,MAINPURI,SURESH,INDEPENDENT,339
UTTAR PRADESH,MAINPURI,SANJEEV KUMAR,INDEPENDENT,284
UTTAR PRADESH,MAINPURI,MAHARAJ SINGH,INDEPENDENT,266
UTTAR PRADESH,MAINPURI,PAL SINGH,INDEPENDENT,173
UTTAR PRADESH,MAINPURI,NONE OF THE ABOVE,NONE OF THE ABOVE,1157
UTTAR PRADESH,JALESAR,SANJEEV KUMAR DIWAKAR,BHARATIYA JANATA PARTY,81502
UTTAR PRADESH,JALESAR,RANJEET SUMAN,SAMAJWADI PARTY,61694
UTTAR PRADESH,JALESAR,MOHAN SINGH HAPPY,BAHUJAN SAMAJ PARTY,35817
UTTAR PRADESH,JALESAR,RAJKUMARI,RASHTRIYA KRANTI PARTY,2375
UTTAR PRADESH,JALESAR,RAMDAS DAGA,INDEPENDENT,597
UTTAR PRADESH,JALESAR,SURESH,INDEPENDENT,489
UTTAR PRADESH,JALESAR,DHARMENDRA PAL SINGH,INDEPENDENT,385
UTTAR PRADESH,JALESAR,GEETA DEVI,INDEPENDENT,326
UTTAR PRADESH,JALESAR,JAYPAL,INDEPENDENT,267
UTTAR PRADESH,JALESAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1188
UTTAR PRADESH,MARHARA,VIRENDRA,BHARATIYA JANATA PARTY,92507
UTTAR PRADESH,MARHARA,AMIT GAURAV,SAMAJWADI PARTY,59075
UTTAR PRADESH,MARHARA,SHALABH MAHESHWARI,BAHUJAN SAMAJ PARTY,31966
UTTAR PRADESH,MARHARA,KAILASH LODHI,JAN ADHIKAR MANCH,2168
UTTAR PRADESH,MARHARA,HARENDRA KUMAR,INDEPENDENT,1496
UTTAR PRADESH,MARHARA,RANJIT,LOK DAL,1159
UTTAR PRADESH,MARHARA,SHIVA RAJPUT,INDEPENDENT,500
UTTAR PRADESH,MARHARA,RAM NIVAS,VOTERS PARTY INTERNATIONAL,419
UTTAR PRADESH,MARHARA,BHU DEVI,INDEPENDENT,369
UTTAR PRADESH,MARHARA,VIDHYARAM,BHARATIYA SUBHASH SENA,329
UTTAR PRADESH,MARHARA,NONE OF THE ABOVE,NONE OF THE ABOVE,1351
UTTAR PRADESH,ETAH,VIPIN KUMAR DAVID,BHARATIYA JANATA PARTY,82516
UTTAR PRADESH,ETAH,JUGENDRA SINGH YADAV,SAMAJWADI PARTY,61387
UTTAR PRADESH,ETAH,GAJENDRA SINGH CHAUHAN URF BABLOO,BAHUJAN SAMAJ PARTY,41937
UTTAR PRADESH,ETAH,ASHISH KUMAR YADAV,LOK DAL,11032
UTTAR PRADESH,ETAH,RAJARAM,COMMUNIST PARTY OF INDIA (MARXIST),920
UTTAR PRADESH,ETAH,SUNEET CHAUHAN,INDEPENDENT,679
UTTAR PRADESH,ETAH,SUKHVENDRA SINGH,INDEPENDENT,463
UTTAR PRADESH,ETAH,RAJESH KUMAR,INDEPENDENT,361
UTTAR PRADESH,ETAH,YOGENDRAPAL SINGH,INDEPENDENT,333
UTTAR PRADESH,ETAH,PRADEEP KUMAR,JAN ADHIKAR PARTY,274
UTTAR PRADESH,ETAH,MANOJ KUMAR,INDEPENDENT,218
UTTAR PRADESH,ETAH,RAJESH KUMAR,VOTERS PARTY INTERNATIONAL,127
UTTAR PRADESH,ETAH,OMENDRA SINGH,INDEPENDENT,125
UTTAR PRADESH,ETAH,NONE OF THE ABOVE,NONE OF THE ABOVE,1277
UTTAR PRADESH,ALIGANJ,SATYAPAL SINGH RATHAUR,BHARATIYA JANATA PARTY,88695
UTTAR PRADESH,ALIGANJ,RAMESHWAR SINGH YADAV,SAMAJWADI PARTY,74844
UTTAR PRADESH,ALIGANJ,AWADHPAL SINGH YADAV,BAHUJAN SAMAJ PARTY,46275
UTTAR PRADESH,ALIGANJ,HARVESH,INDEPENDENT,1305
UTTAR PRADESH,ALIGANJ,RAM KISHORE,MAHAN DAL,1070
UTTAR PRADESH,ALIGANJ,SUKHVIR,INDEPENDENT,998
UTTAR PRADESH,ALIGANJ,MUKESH,INDEPENDENT,604
UTTAR PRADESH,ALIGANJ,RAM BRIJESH,INDEPENDENT,305
UTTAR PRADESH,ALIGANJ,PHOOL SINGH,INDEPENDENT,265
UTTAR PRADESH,ALIGANJ,OMPAL SINGH YADAV,INDEPENDENT,186
UTTAR PRADESH,ALIGANJ,RAGHVEDRA SINGH,INDEPENDENT,169
UTTAR PRADESH,ALIGANJ,DILIP KUMAR,INDEPENDENT,124
UTTAR PRADESH,ALIGANJ,GURUDEV SINGH,INDEPENDENT,100
UTTAR PRADESH,ALIGANJ,KAMLESH MISHRA,INDEPENDENT,82
UTTAR PRADESH,ALIGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,1572
UTTAR PRADESH,PATIYALI,MAMTESH,BHARATIYA JANATA PARTY,72414
UTTAR PRADESH,PATIYALI,KIRAN YADAV,SAMAJWADI PARTY,68643
UTTAR PRADESH,PATIYALI,DHEERENDRA BAHADUR SINGH CHAUHAN DHEERU,BAHUJAN SAMAJ PARTY,44131
UTTAR PRADESH,PATIYALI,SHYAMSUNDAR,MAHAN DAL,10586
UTTAR PRADESH,PATIYALI,SHRIKUMAR,INDEPENDENT,1020
UTTAR PRADESH,PATIYALI,ASHOK KUMAR MISHRA,INDEPENDENT,975
UTTAR PRADESH,PATIYALI,POORAN SINGH,MANAV HIT PARTY,921
UTTAR PRADESH,PATIYALI,VINAY MISHRA,BHARTIYA SHAKTI CHETNA PARTY,799
UTTAR PRADESH,PATIYALI,VIPIN KUMAR,INDEPENDENT,743
UTTAR PRADESH,PATIYALI,RAHUL,INDEPENDENT,389
UTTAR PRADESH,PATIYALI,MOHAR SINGH,UTTAR PRADESH REPUBLICAN PARTY,324
UTTAR PRADESH,PATIYALI,DAVENDRA SINGH,INDEPENDENT,322
UTTAR PRADESH,PATIYALI,NONE OF THE ABOVE,NONE OF THE ABOVE,1556
UTTAR PRADESH,AMANPUR,DEVENDRA PRATAP,BHARATIYA JANATA PARTY,85199
UTTAR PRADESH,AMANPUR,VIRENDRA SINGH SOLANKI,SAMAJWADI PARTY,43395
UTTAR PRADESH,AMANPUR,DEV PRAKASH,BAHUJAN SAMAJ PARTY,33166
UTTAR PRADESH,AMANPUR,RAHUL PANDAY,MAHAN DAL,16967
UTTAR PRADESH,AMANPUR,SALIKRAM,COMMUNIST PARTY OF INDIA (MARXIST),885
UTTAR PRADESH,AMANPUR,DHIRENDRA SINGH,JAN ADHIKAR PARTY,767
UTTAR PRADESH,AMANPUR,MUNNALAL,INDEPENDENT,763
UTTAR PRADESH,AMANPUR,ARUN,INDEPENDENT,546
UTTAR PRADESH,AMANPUR,DUSHYANT KUMAR,SHIVSENA,529
UTTAR PRADESH,AMANPUR,CHANDRASHEKHAR MISHRA,MANAV HIT PARTY,319
UTTAR PRADESH,AMANPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1242
UTTAR PRADESH,KASGANJ,DEVENDRA SINGH RAJPUT,BHARATIYA JANATA PARTY,101908
UTTAR PRADESH,KASGANJ,HASRAT ULLAH SHERVANI,SAMAJWADI PARTY,49878
UTTAR PRADESH,KASGANJ,AJAY CHATURVEDI,BAHUJAN SAMAJ PARTY,37818
UTTAR PRADESH,KASGANJ,SUDHIR ALIAS PAPPU YADAV,MAHAN DAL,22250
UTTAR PRADESH,KASGANJ,KULDEEP KUMAR,RASHTRAVADI PRATAP SENA,2803
UTTAR PRADESH,KASGANJ,PREETI MISHRA,INDEPENDENT,967
UTTAR PRADESH,KASGANJ,ANIL KUMAR,INDEPENDENT,746
UTTAR PRADESH,KASGANJ,ARCHANA DEVI,INDEPENDENT,685
UTTAR PRADESH,KASGANJ,PADAM SINGH,INDEPENDENT,562
UTTAR PRADESH,KASGANJ,NARENDRA KUMAR,INDEPENDENT,480
UTTAR PRADESH,KASGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,2023
UTTAR PRADESH,SIRSAGANJ,HARIOM YADAV,SAMAJWADI PARTY,90281
UTTAR PRADESH,SIRSAGANJ,JAIVEER SINGH,BHARATIYA JANATA PARTY,79605
UTTAR PRADESH,SIRSAGANJ,RAGHVENDRA SINGH,BAHUJAN SAMAJ PARTY,20920
UTTAR PRADESH,SIRSAGANJ,PANKAJ MISHRA,JAN ADHIKAR MANCH,6176
UTTAR PRADESH,SIRSAGANJ,ASHOK YADAV,INDEPENDENT,2184
UTTAR PRADESH,SIRSAGANJ,DURBEEN SINGH,BHARTIYA SHAKTI CHETNA PARTY,785
UTTAR PRADESH,SIRSAGANJ,BRAJESH KUMAR,INDEPENDENT,549
UTTAR PRADESH,SIRSAGANJ,SANTOSH KUMAR,INDEPENDENT,529
UTTAR PRADESH,SIRSAGANJ,SANTOSH KUMAR,BHARATIYA SUBHASH SENA,299
UTTAR PRADESH,SIRSAGANJ,ATISH KUMAR,INDEPENDENT,195
UTTAR PRADESH,SIRSAGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,1552
UTTAR PRADESH,SHIKOHABAD,MUKESH VERMA,BHARATIYA JANATA PARTY,87851
UTTAR PRADESH,SHIKOHABAD,SANJAY KUMAR,SAMAJWADI PARTY,77074
UTTAR PRADESH,SHIKOHABAD,SHAILESH KUMAR,BAHUJAN SAMAJ PARTY,37512
UTTAR PRADESH,SHIKOHABAD,RAM PRAKASH YADAV (NEHRU JI),INDEPENDENT,8074
UTTAR PRADESH,SHIKOHABAD,ASHOK KUMAR,BHARATIYA SUBHASH SENA,608
UTTAR PRADESH,SHIKOHABAD,CHANDRA KANT,INDEPENDENT,485
UTTAR PRADESH,SHIKOHABAD,BHOOPENDRA,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,387
UTTAR PRADESH,SHIKOHABAD,NEKPAL SINGH,INDEPENDENT,377
UTTAR PRADESH,SHIKOHABAD,TURSHAN PAL,RASHTRIYA LOK SAMTA PARTY,249
UTTAR PRADESH,SHIKOHABAD,DEVENDRA,JAN ADHIKAR MANCH,247
UTTAR PRADESH,SHIKOHABAD,AVNISH KUMAR,INDEPENDENT,157
UTTAR PRADESH,SHIKOHABAD,NONE OF THE ABOVE,NONE OF THE ABOVE,1700
UTTAR PRADESH,FIROZABAD,MANISH ASIJA,BHARATIYA JANATA PARTY,102654
UTTAR PRADESH,FIROZABAD,AZIM BHAI,SAMAJWADI PARTY,60927
UTTAR PRADESH,FIROZABAD,KHALID NASIR,BAHUJAN SAMAJ PARTY,51387
UTTAR PRADESH,FIROZABAD,AHTSHAM ALI (BABAR),ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,11478
UTTAR PRADESH,FIROZABAD,AJAY KUMAR,JAN ADHIKAR MANCH,1688
UTTAR PRADESH,FIROZABAD,AMIT GARG,INDEPENDENT,703
UTTAR PRADESH,FIROZABAD,RAJKISHOR TIWARI,INDEPENDENT,502
UTTAR PRADESH,FIROZABAD,SHOUKIN SINGH,BHARATIYA SUBHASH SENA,349
UTTAR PRADESH,FIROZABAD,JAHANGIR KHAN ALVI,PEACE PARTY,336
UTTAR PRADESH,FIROZABAD,KAUSHAL KISHORE UPADHYAY,RASHTRIYA SAWARN DAL,318
UTTAR PRADESH,FIROZABAD,MO SHAHAJAD KHAN,INDIAN UNION MUSLIM LEAGUE,270
UTTAR PRADESH,FIROZABAD,RAMGOPAL,RASHTRIYA LOK SAMTA PARTY,237
UTTAR PRADESH,FIROZABAD,BALVEER SINGH,BHARATIYA KISAN PARIVARTAN PARTY,218
UTTAR PRADESH,FIROZABAD,NITENDAR GUPTA,LOK DAL,187
UTTAR PRADESH,FIROZABAD,DEEPAK SHARMA,MANUVADI PARTY,118
UTTAR PRADESH,FIROZABAD,NONE OF THE ABOVE,NONE OF THE ABOVE,906
UTTAR PRADESH,JASRANA,RAMGOPAL PAPPU LODHI,BHARATIYA JANATA PARTY,103426
UTTAR PRADESH,JASRANA,SHIVPRATAP SINGH,SAMAJWADI PARTY,83098
UTTAR PRADESH,JASRANA,SHIVRAJ SINGH YADAV,BAHUJAN SAMAJ PARTY,26274
UTTAR PRADESH,JASRANA,RAMVEER SINGH,LOK DAL,11274
UTTAR PRADESH,JASRANA,RAVINDRA SINGH,INDEPENDENT,1111
UTTAR PRADESH,JASRANA,JAY KUMAR,JAN ADHIKAR MANCH,1039
UTTAR PRADESH,JASRANA,RAMDAS SAVITA,INDEPENDENT,875
UTTAR PRADESH,JASRANA,MITHLESH URF SANDHYA RAJPOOT,INDEPENDENT,477
UTTAR PRADESH,JASRANA,VIJENDRA SINGH,BHARATIYA SUBHASH SENA,389
UTTAR PRADESH,JASRANA,MUNENDRA SINGH,RASHTRIYA SAWARN DAL,321
UTTAR PRADESH,JASRANA,PRAMOD KUMAR YADAV,HIND VIKAS PARTY,200
UTTAR PRADESH,JASRANA,NONE OF THE ABOVE,NONE OF THE ABOVE,1908
UTTAR PRADESH,TUNDLA,SATYA PAL SINGH BAGHEL,BHARATIYA JANATA PARTY,118584
UTTAR PRADESH,TUNDLA,RAKESH BABU,BAHUJAN SAMAJ PARTY,62514
UTTAR PRADESH,TUNDLA,SHIV SINGH CHAK,SAMAJWADI PARTY,54888
UTTAR PRADESH,TUNDLA,GANGA PRASHAD PUSHKAR,RASHTRIYA LOK DAL,2576
UTTAR PRADESH,TUNDLA,SALONI,INDEPENDENT,871
UTTAR PRADESH,TUNDLA,JITENDRA KUMAR,BAHUJAN MUKTI PARTY,786
UTTAR PRADESH,TUNDLA,RAHUL KUMAR,INDEPENDENT,671
UTTAR PRADESH,TUNDLA,RAMTIRATH,INDEPENDENT,549
UTTAR PRADESH,TUNDLA,RAVENDRA SINGH,INDEPENDENT,351
UTTAR PRADESH,TUNDLA,SAPANA VERMA,ADARSH SAMAJ PARTY,224
UTTAR PRADESH,TUNDLA,MAMTESH KUMAR,INDEPENDENT,196
UTTAR PRADESH,TUNDLA,NONE OF THE ABOVE,NONE OF THE ABOVE,1381
UTTAR PRADESH,BAH,RANI PAKSHALIKA SINGH,BHARATIYA JANATA PARTY,80567
UTTAR PRADESH,BAH,MADHUSUDAN SHARMA,BAHUJAN SAMAJ PARTY,57427
UTTAR PRADESH,BAH,HANSKALI ALIAS ANSHU RANI NISHAD,SAMAJWADI PARTY,46885
UTTAR PRADESH,BAH,SUDHIR DUBEY,RASHTRIYA LOK DAL,1665
UTTAR PRADESH,BAH,RAMENDRA SINGH,INDEPENDENT,1225
UTTAR PRADESH,BAH,RAMBARAN,INDEPENDENT,630
UTTAR PRADESH,BAH,BRIJENDRA SINGH,INDEPENDENT,513
UTTAR PRADESH,BAH,MADHURI SINGH,RASHTRIYA LOK SAMTA PARTY,447
UTTAR PRADESH,BAH,RAMAKANT SAVITA,INDEPENDENT,415
UTTAR PRADESH,BAH,PRADEEP GARG,INDEPENDENT,182
UTTAR PRADESH,BAH,SUNIL KUMAR,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,177
UTTAR PRADESH,BAH,BASUDEV SHARMA,BHARATIYA SUBHASH SENA,154
UTTAR PRADESH,BAH,SOBARAN SINGH,UNITED NATIONAL PARTY,146
UTTAR PRADESH,BAH,KARAN SINGH,INDEPENDENT,139
UTTAR PRADESH,BAH,NONE OF THE ABOVE,NONE OF THE ABOVE,2214
UTTAR PRADESH,FATEHABAD,JITENDRA VERMA,BHARATIYA JANATA PARTY,101960
UTTAR PRADESH,FATEHABAD,RAJENDRA SINGH,SAMAJWADI PARTY,67596
UTTAR PRADESH,FATEHABAD,UMESH SHARMA SAITHIYA,BAHUJAN SAMAJ PARTY,35050
UTTAR PRADESH,FATEHABAD,SHOKHEERAM,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,1358
UTTAR PRADESH,FATEHABAD,RAJENDRA SINGH,INDEPENDENT,905
UTTAR PRADESH,FATEHABAD,RAMESH CHANDRA,BHARATIYA SUBHASH SENA,776
UTTAR PRADESH,FATEHABAD,RADHESHYAM KUSHWAH,SANYUKT SAMAJWADI DAL,678
UTTAR PRADESH,FATEHABAD,NONE OF THE ABOVE,NONE OF THE ABOVE,1470
UTTAR PRADESH,KHERAGARH,MAHESH KUMAR GOYAL,BHARATIYA JANATA PARTY,93510
UTTAR PRADESH,KHERAGARH,BHAGWAN SINGH KUSHWAHA,BAHUJAN SAMAJ PARTY,61511
UTTAR PRADESH,KHERAGARH,KUSUMLATA DIXIT,INDIAN NATIONAL CONGRESS,23088
UTTAR PRADESH,KHERAGARH,RAMNATH,INDEPENDENT,7680
UTTAR PRADESH,KHERAGARH,RAMENDRA SINGH PARMAR,RASHTRIYA LOK DAL,6520
UTTAR PRADESH,KHERAGARH,VANGALI RAM KUSHWAH,INDEPENDENT,1603
UTTAR PRADESH,KHERAGARH,RANDHIR SINGH,INDEPENDENT,742
UTTAR PRADESH,KHERAGARH,RAJVIR SINGH,AMBEDKARITE PARTY OF INDIA,682
UTTAR PRADESH,KHERAGARH,ISHVA KHAN,INDEPENDENT,594
UTTAR PRADESH,KHERAGARH,DHARMENDRA KUMAR SHARMA,INDEPENDENT,370
UTTAR PRADESH,KHERAGARH,AMBEDKARI HASANURAM AMBEDKARI,INDEPENDENT,336
UTTAR PRADESH,KHERAGARH,JAL DEVI,INDEPENDENT,331
UTTAR PRADESH,KHERAGARH,VIR BAHADUR ALIAS VIR BAHADUR DHAKRAY,LOK DAL,328
UTTAR PRADESH,KHERAGARH,BHIMSAIN KUSHAWAHA,INDEPENDENT,263
UTTAR PRADESH,KHERAGARH,NONE OF THE ABOVE,NONE OF THE ABOVE,1223
UTTAR PRADESH,FATEHPUR SIKRI,CHAU. UDAYBHAN SINGH,BHARATIYA JANATA PARTY,108586
UTTAR PRADESH,FATEHPUR SIKRI,SURAJPAL SINGH,BAHUJAN SAMAJ PARTY,56249
UTTAR PRADESH,FATEHPUR SIKRI,BRIJESH KUMAR CHAHAR,RASHTRIYA LOK DAL,38307
UTTAR PRADESH,FATEHPUR SIKRI,LAL SINGH,SAMAJWADI PARTY,21884
UTTAR PRADESH,FATEHPUR SIKRI,YOGENDRA SINGH,INDEPENDENT,958
UTTAR PRADESH,FATEHPUR SIKRI,VANDANA SHARMA,INDEPENDENT,792
UTTAR PRADESH,FATEHPUR SIKRI,RAKESH,INDEPENDENT,731
UTTAR PRADESH,FATEHPUR SIKRI,NONE OF THE ABOVE,NONE OF THE ABOVE,1864
UTTAR PRADESH,AGRA RURAL,HEMLATA DIWAKAR,BHARATIYA JANATA PARTY,129887
UTTAR PRADESH,AGRA RURAL,KALICHARAN SUMAN,BAHUJAN SAMAJ PARTY,64591
UTTAR PRADESH,AGRA RURAL,UPENDRA SINGH,INDIAN NATIONAL CONGRESS,31312
UTTAR PRADESH,AGRA RURAL,NARAYAN SINGH SUMAN,RASHTRIYA LOK DAL,17446
UTTAR PRADESH,AGRA RURAL,OMA SHANKAR ALIAS SUNIL DIWAKAR,JAN ADHIKAR MANCH,1378
UTTAR PRADESH,AGRA RURAL,ASHOK KUMAR,INDEPENDENT,1328
UTTAR PRADESH,AGRA RURAL,AMBEDKARI HASANU RAM AMBEDKARI,INDEPENDENT,871
UTTAR PRADESH,AGRA RURAL,RAVINDRA SINGH,INDEPENDENT,769
UTTAR PRADESH,AGRA RURAL,BHUPAL DAS,INDEPENDENT,488
UTTAR PRADESH,AGRA RURAL,NONE OF THE ABOVE,NONE OF THE ABOVE,1856
UTTAR PRADESH,AGRA NORTH,JAGAN PRASAD GARG,BHARATIYA JANATA PARTY,135120
UTTAR PRADESH,AGRA NORTH,ER. GYANENDRA GAUTAM,BAHUJAN SAMAJ PARTY,48800
UTTAR PRADESH,AGRA NORTH,ATUL GARG,SAMAJWADI PARTY,36739
UTTAR PRADESH,AGRA NORTH,KUNDANIKA SHARMA,INDEPENDENT,3275
UTTAR PRADESH,AGRA NORTH,COL. UMESH VERMA,RASHTRIYA LOK DAL,1214
UTTAR PRADESH,AGRA NORTH,PRATAP GUJAR,INDEPENDENT,1163
UTTAR PRADESH,AGRA NORTH,SATENDRA DIXIT,INDEPENDENT,834
UTTAR PRADESH,AGRA NORTH,VINIT AGRAWAL,INDEPENDENT,555
UTTAR PRADESH,AGRA NORTH,IRFAN KHAN,VANCHITSAMAJ INSAAF PARTY,410
UTTAR PRADESH,AGRA NORTH,SATYA PRAKASH,INDEPENDENT,270
UTTAR PRADESH,AGRA NORTH,REKHA,INDEPENDENT,247
UTTAR PRADESH,AGRA NORTH,DEV KUMAR,JAN ADHIKAR MANCH,238
UTTAR PRADESH,AGRA NORTH,MUKESH,RASHTRIYA SAMANTA DAL,237
UTTAR PRADESH,AGRA NORTH,TEJVEER SINGH,PEACE PARTY,224
UTTAR PRADESH,AGRA NORTH,VIVEK KUMAR JAIN,BHARTIYA SHAKTI CHETNA PARTY,177
UTTAR PRADESH,AGRA NORTH,NONE OF THE ABOVE,NONE OF THE ABOVE,1266
UTTAR PRADESH,AGRA SOUTH,YOGENDRA UPADHYAYA,BHARATIYA JANATA PARTY,111882
UTTAR PRADESH,AGRA SOUTH,ZULFIQAR AHMAD BHUTTO,BAHUJAN SAMAJ PARTY,57657
UTTAR PRADESH,AGRA SOUTH,NAZIR AHMED,INDIAN NATIONAL CONGRESS,39434
UTTAR PRADESH,AGRA SOUTH,THOMSAN MASSEY,INDEPENDENT,979
UTTAR PRADESH,AGRA SOUTH,PRADEEP KUMAR SRIVASTAVA,INDEPENDENT,800
UTTAR PRADESH,AGRA SOUTH,ANJALI BHARGAVA,MAHILA SASHAKTIKARAN PARTY,559
UTTAR PRADESH,AGRA SOUTH,MAHIPAL SINGH,INDEPENDENT,522
UTTAR PRADESH,AGRA SOUTH,ALOK KUMAR,INDEPENDENT,470
UTTAR PRADESH,AGRA SOUTH,CH. GOPAL SINGH DHAKED,INDEPENDENT,464
UTTAR PRADESH,AGRA SOUTH,HARISH CHANDRA,INDEPENDENT,428
UTTAR PRADESH,AGRA SOUTH,MUSTAKEEM,INDEPENDENT,420
UTTAR PRADESH,AGRA SOUTH,LOKENDRA SHARMA,INDEPENDENT,349
UTTAR PRADESH,AGRA SOUTH,RAMBRIJ YADAV,INDEPENDENT,254
UTTAR PRADESH,AGRA SOUTH,NASIR ABBAS,BHARATIYA KARYASTH SENA,244
UTTAR PRADESH,AGRA SOUTH,KRISHAN GOPAL UPADHYAY,PEACE PARTY,239
UTTAR PRADESH,AGRA SOUTH,IDARISH,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,232
UTTAR PRADESH,AGRA SOUTH,SAROJ KUMARI,INDEPENDENT,196
UTTAR PRADESH,AGRA SOUTH,RENU SETHI,INDEPENDENT,194
UTTAR PRADESH,AGRA SOUTH,ROHIT SINGH DHAKAD,RASHTRIYA LOK SAMTA PARTY,177
UTTAR PRADESH,AGRA SOUTH,SANJAY GARG,INDEPENDENT,161
UTTAR PRADESH,AGRA SOUTH,PADMA AGRAWAL,BRIJ KRANTI DAL,154
UTTAR PRADESH,AGRA SOUTH,SHYAM SUNDAR,BAHUJAN MUKTI PARTY,149
UTTAR PRADESH,AGRA SOUTH,ASHRAF QURESHI,INDEPENDENT,145
UTTAR PRADESH,AGRA SOUTH,ATUL KUMAR,JAN ADHIKAR MANCH,133
UTTAR PRADESH,AGRA SOUTH,LAKSHMAN PRASAD RAJORA,INDEPENDENT,117
UTTAR PRADESH,AGRA SOUTH,DEREK SMITH,ADARSH SAMAJ PARTY,113
UTTAR PRADESH,AGRA SOUTH,NONE OF THE ABOVE,NONE OF THE ABOVE,753
UTTAR PRADESH,AGRA CANTT.,DR. GIRRAJ SINGH DHARMESH,BHARATIYA JANATA PARTY,113178
UTTAR PRADESH,AGRA CANTT.,GUTIYARI LAL DUWESH,BAHUJAN SAMAJ PARTY,66853
UTTAR PRADESH,AGRA CANTT.,MAMTA KAUDAN,SAMAJWADI PARTY,64683
UTTAR PRADESH,AGRA CANTT.,SUBHASH CHAND,INDEPENDENT,1236
UTTAR PRADESH,AGRA CANTT.,AVDESH SINGH ( RAMU SUMAN),RASHTRIYA LOK DAL,1145
UTTAR PRADESH,AGRA CANTT.,HARI KISHAN,INDEPENDENT,935
UTTAR PRADESH,AGRA CANTT.,RAKESH KUMAR,PEACE PARTY,868
UTTAR PRADESH,AGRA CANTT.,UMESH CHAND,AMBEDKARITE PARTY OF INDIA,763
UTTAR PRADESH,AGRA CANTT.,VISHAL KUMAR,INDEPENDENT,719
UTTAR PRADESH,AGRA CANTT.,RAJVEER SINGH,INDEPENDENT,440
UTTAR PRADESH,AGRA CANTT.,RAJKUMAR SINGH,JAN ADHIKAR MANCH,267
UTTAR PRADESH,AGRA CANTT.,OMPRAKASH,BHARTIYA SARVODAYA PARTY,222
UTTAR PRADESH,AGRA CANTT.,PRADEEP VERMA,INDEPENDENT,198
UTTAR PRADESH,AGRA CANTT.,BABITA SINGH MAURYA,RASHTRIYA SAMANTA DAL,124
UTTAR PRADESH,AGRA CANTT.,NONE OF THE ABOVE,NONE OF THE ABOVE,1185
UTTAR PRADESH,ETMADPUR,RAM PRATAP SINGH,BHARATIYA JANATA PARTY,137381
